word,V/C Ratio,S-Score,ULetters
pizza,0.67,25,4
goomy,0.67,11,4
manta,0.67,7,4
qubit,0.67,16,5
tided,0.67,7,4
fiest,0.67,8,5
ollav,0.67,8,4
slink,0.25,9,5
whizz,0.25,29,4
hadst,0.25,9,5
corse,0.67,7,5
aloos,1.5,5,4
coted,0.67,8,5
tamin,0.67,7,5
avise,1.5,8,5
ctene,0.67,7,4
sides,0.67,6,4
stowp,0.25,10,5
waits,0.67,8,5
goved,0.67,10,5
downs,0.25,9,5
rikwa,0.67,12,5
decim,0.67,10,5
peepy,0.67,12,3
rozet,0.67,14,5
dyked,0.25,14,4
aport,0.67,7,5
therm,0.25,10,5
botel,0.67,7,5
whity,0.25,14,5
cache,0.67,12,4
scrod,0.25,8,5
raped,0.67,8,5
poori,1.5,7,4
braai,1.5,7,4
helio,1.5,8,5
flank,0.25,12,5
arter,0.67,5,4
santo,0.67,5,5
lipos,0.67,7,5
lapas,0.67,7,4
bossy,0.25,10,4
osmol,0.67,7,4
sumis,0.67,7,4
turms,0.25,7,5
corno,0.67,7,4
bibbs,0.25,11,3
thrid,0.25,9,5
spahi,0.67,10,5
cause,1.5,7,5
taiko,1.5,9,5
allay,0.67,8,3
timbo,0.67,9,5
knead,0.67,10,5
pyxie,0.67,17,5
terza,0.67,14,5
noops,0.67,7,4
murls,0.25,7,5
pilau,1.5,7,5
shahs,0.25,11,3
recce,0.67,9,3
prems,0.25,9,5
gable,0.67,8,5
trout,0.67,5,4
glode,0.67,7,5
litas,0.67,5,5
skugs,0.25,10,4
fagot,0.67,9,5
cesti,0.67,7,5
ninta,0.67,5,4
aurae,4.0,5,4
wurst,0.25,8,5
pooed,1.5,8,4
yelts,0.25,8,5
divas,0.67,9,5
moody,0.67,11,4
ticks,0.25,11,5
ulnad,0.67,6,5
boldo,0.67,8,4
pervs,0.25,10,5
dishy,0.25,12,5
corda,0.67,8,5
racks,0.25,11,5
baddy,0.25,12,4
prest,0.25,7,5
kylix,0.25,19,5
zowee,1.5,17,4
cueca,1.5,9,4
imino,1.5,7,4
drays,0.25,9,5
moron,0.67,7,4
quins,0.67,14,5
damns,0.25,8,5
bloat,0.67,7,5
jebel,0.67,14,4
jeton,0.67,12,5
pukus,0.67,11,4
lying,0.25,9,5
latke,0.67,9,5
wasps,0.25,10,4
snugs,0.25,6,4
hards,0.25,9,5
hobos,0.67,10,4
dight,0.25,10,5
lairs,0.67,5,5
eards,0.67,6,5
ngapi,0.67,8,5
stele,0.67,5,4
bivvy,0.25,16,4
smits,0.25,7,4
akene,1.5,9,4
epees,1.5,7,3
begot,0.67,8,5
curdy,0.25,11,5
kibbi,0.67,13,3
bolix,0.67,14,5
machs,0.25,12,5
spots,0.25,7,4
scurs,0.25,7,4
bower,0.67,10,5
peris,0.67,7,5
otaku,1.5,9,5
ahead,1.5,9,4
amari,1.5,7,4
donga,0.67,7,5
gager,0.67,7,4
riots,0.67,5,5
dited,0.67,7,4
flote,0.67,8,5
dants,0.25,6,5
spree,0.67,7,4
hogen,0.67,9,5
phlox,0.25,17,5
roted,0.67,6,5
coyly,0.25,13,4
meaty,0.67,10,5
hudud,0.67,10,3
lowns,0.25,8,5
hived,0.67,12,5
cukes,0.67,11,5
fidus,0.67,9,5
sease,1.5,5,3
yakow,0.67,15,5
manny,0.25,10,4
tatie,1.5,5,4
jewel,0.67,15,4
moral,0.67,7,5
reest,0.67,5,4
goafs,0.67,9,5
axile,1.5,12,5
ploys,0.25,10,5
cacao,1.5,9,3
sunks,0.25,9,4
thuya,0.67,11,5
newie,1.5,8,4
nasho,0.67,8,5
trite,0.67,5,4
smily,0.25,10,5
leuds,0.67,6,5
brill,0.25,7,4
omnes,0.67,7,5
bodoh,0.67,11,4
sloid,0.67,6,5
jaaps,0.67,14,4
spier,0.67,7,5
creds,0.25,8,5
skios,0.67,9,4
toper,0.67,7,5
tubae,1.5,7,5
globs,0.25,8,5
hevea,1.5,11,4
fedai,1.5,9,5
oread,1.5,6,5
tophs,0.25,10,5
karoo,1.5,9,4
abius,1.5,7,5
nerfs,0.25,8,5
emirs,0.67,7,5
pocky,0.25,16,5
moyls,0.25,10,5
chars,0.25,10,5
allod,0.67,6,4
bravo,0.67,10,5
paper,0.67,9,4
loppy,0.25,12,4
poupt,0.67,9,4
blade,0.67,8,5
agape,1.5,8,4
dingy,0.25,10,5
mirin,0.67,7,4
hefts,0.25,11,5
royne,0.67,8,5
groms,0.25,8,5
mante,0.67,7,5
czars,0.25,16,5
yeahs,0.67,11,5
comal,0.67,9,5
eathe,1.5,8,4
galvo,0.67,9,5
nexts,0.25,12,5
heron,0.67,8,5
favus,0.67,11,5
tombs,0.25,9,5
brogh,0.25,11,5
sulfo,0.67,8,5
mothy,0.25,13,5
roved,0.67,9,5
jetes,0.67,12,4
rudie,1.5,6,5
azoic,1.5,16,5
dalek,0.67,10,5
hoord,0.67,9,4
sunts,0.25,5,4
creek,0.67,11,4
ongon,0.67,6,3
totem,0.67,7,4
walis,0.67,8,5
holms,0.25,10,5
datto,0.67,6,4
slake,0.67,9,5
ataxy,0.67,15,4
aimag,1.5,8,4
yokeg,0.67,13,5
ajuga,1.5,13,4
magna,0.67,8,4
firns,0.25,8,5
heths,0.25,11,4
noias,1.5,5,5
arils,0.67,5,5
cooed,1.5,8,4
mawky,0.25,17,5
lemma,0.67,9,4
jisms,0.25,14,4
swink,0.25,12,5
renga,0.67,6,5
babes,0.67,9,4
hylas,0.25,11,5
griff,0.25,12,4
lutes,0.67,5,5
tummy,0.25,12,4
speug,0.67,8,5
crabs,0.25,9,5
lappy,0.25,12,4
brust,0.25,7,5
occam,0.67,11,4
erode,1.5,6,4
filmi,0.67,10,4
chaat,0.67,10,4
burgh,0.25,11,5
hoaed,1.5,9,5
barky,0.25,14,5
yucas,0.67,10,5
miasm,0.67,9,4
ragus,0.67,6,5
kebab,0.67,13,4
swees,0.67,8,3
loirs,0.67,5,5
latte,0.67,5,4
jihad,0.67,16,5
glair,0.67,6,5
scall,0.25,7,4
nukes,0.67,9,5
lumps,0.25,9,5
croon,0.67,7,4
acing,0.67,8,5
blets,0.25,7,5
carny,0.25,10,5
yoppo,0.67,12,3
mudra,0.67,8,5
yells,0.25,8,4
jocos,0.67,14,4
cajon,0.67,14,5
cecal,0.67,9,4
salps,0.25,7,4
mozed,0.67,17,5
foyer,0.67,11,5
first,0.25,8,5
symar,0.25,10,5
kukri,0.67,13,4
kendo,0.67,10,5
drock,0.25,12,5
fella,0.67,8,4
longs,0.25,6,5
toffy,0.25,14,4
laser,0.67,5,5
derby,0.25,11,5
sneer,0.67,5,4
zinky,0.25,21,5
abrin,0.67,7,5
namma,0.67,9,3
wilts,0.25,8,5
facta,0.67,10,4
balas,0.67,7,4
tuner,0.67,5,5
maneb,0.67,9,5
zamac,0.67,18,4
zooty,0.67,17,4
nuses,0.67,5,4
drams,0.25,8,5
jomon,0.67,14,4
avgas,0.67,9,4
metta,0.67,7,4
ohelo,1.5,8,4
jacky,0.25,21,5
henry,0.25,11,5
bowrs,0.25,10,5
thymi,0.25,13,5
pshaw,0.25,13,5
pungs,0.25,8,5
vrows,0.25,11,5
seamy,0.67,10,5
filii,1.5,8,3
color,0.67,7,4
schul,0.25,10,5
amoks,0.67,11,5
summa,0.67,9,4
sluts,0.25,5,4
trats,0.25,5,4
garbe,0.67,8,5
nomoi,1.5,7,4
nouja,1.5,12,5
clits,0.25,7,5
droke,0.67,10,5
trues,0.67,5,5
mados,0.67,8,5
ortho,0.67,8,4
zendo,0.67,15,5
oonts,0.67,5,4
wocks,0.25,14,5
royet,0.67,8,5
india,1.5,6,4
swire,0.67,8,5
mapau,1.5,9,4
lemon,0.67,7,5
axite,1.5,12,5
chyle,0.25,13,5
dopey,0.67,11,5
pissy,0.25,10,4
doted,0.67,7,4
jujus,0.67,19,3
nowts,0.25,8,5
nivas,0.67,8,5
waged,0.67,10,5
quirk,0.67,18,5
stogy,0.25,9,5
easer,1.5,5,4
solan,0.67,5,5
limby,0.25,12,5
ablow,0.67,10,5
kombu,0.67,13,5
carat,0.67,7,4
ditsy,0.25,9,5
sidas,0.67,6,4
gurge,0.67,7,4
leggy,0.25,10,4
forky,0.25,15,5
bides,0.67,8,5
quila,1.5,14,5
machi,0.67,12,5
oleum,1.5,7,5
elvan,0.67,8,5
crore,0.67,7,4
crazy,0.25,19,5
saags,0.67,6,3
rases,0.67,5,4
scifi,0.67,10,4
goest,0.67,6,5
execs,0.67,14,4
peaks,0.67,11,5
bruts,0.25,7,5
wanze,0.67,17,5
doris,0.67,6,5
orang,0.67,6,5
fawny,0.25,14,5
myopy,0.25,15,4
jambs,0.25,16,5
putos,0.67,7,5
chons,0.25,10,5
draco,0.67,8,5
bowls,0.25,10,5
avoid,1.5,9,5
filed,0.67,9,5
lowed,0.67,9,5
qualy,0.67,17,5
mbars,0.25,9,5
takes,0.67,9,5
muffy,0.25,16,4
skols,0.25,9,4
petty,0.25,10,4
yates,0.67,8,5
nuffs,0.25,11,4
drier,0.67,6,4
snees,0.67,5,3
bhais,0.67,10,5
chirr,0.25,10,4
lauch,0.67,10,5
sugan,0.67,6,5
meith,0.67,10,5
spike,0.67,11,5
poind,0.67,8,5
coact,0.67,9,4
qorma,0.67,16,5
aghas,0.67,9,4
nohow,0.67,11,4
mafts,0.25,10,5
boaks,0.67,11,5
seifs,0.67,8,4
riffy,0.25,14,4
mixup,0.67,16,5
volks,0.25,12,5
iodin,1.5,6,4
rerig,0.67,6,4
bezil,0.67,16,5
hayer,0.67,11,5
sumos,0.67,7,4
habus,0.67,10,5
curls,0.25,7,5
botte,0.67,7,4
blood,0.67,8,4
mobby,0.25,14,4
louts,0.67,5,5
odors,0.67,6,4
swizz,0.25,26,4
dados,0.67,7,4
borna,0.67,7,5
snibs,0.25,7,4
attic,0.67,7,4
hocks,0.25,14,5
salic,0.67,7,5
fugly,0.25,12,5
curli,0.67,7,5
rythe,0.25,11,5
looms,0.67,7,4
shags,0.25,9,4
acyls,0.25,10,5
wrens,0.25,8,5
preke,0.67,11,4
swede,0.67,9,4
objet,0.67,14,5
bijou,1.5,14,5
ohmic,0.67,12,5
bosun,0.67,7,5
prism,0.25,9,5
cribo,0.67,9,5
robur,0.67,7,4
stick,0.25,11,5
noble,0.67,7,5
polje,0.67,14,5
infix,0.67,15,4
wanky,0.25,15,5
lests,0.25,5,4
bacha,0.67,12,4
cadet,0.67,8,5
bicep,0.67,11,5
stria,0.67,5,5
honer,0.67,8,5
stoae,1.5,5,5
cruet,0.67,7,5
ribby,0.25,12,4
swobs,0.25,10,4
stiff,0.25,11,4
fence,0.67,10,4
prime,0.67,9,5
fitte,0.67,8,4
snubs,0.25,7,4
goops,0.67,8,4
maths,0.25,10,5
basij,0.67,14,5
pumps,0.25,11,4
chapt,0.25,12,5
esnes,0.67,5,3
bhang,0.25,11,5
isbas,0.67,7,4
hejab,0.67,17,5
acred,0.67,8,5
paven,0.67,10,5
bhels,0.25,10,5
polos,0.67,7,4
vezir,0.67,17,5
lidar,0.67,6,5
folks,0.25,12,5
lunks,0.25,9,5
snort,0.25,5,5
feese,1.5,8,3
choky,0.25,17,5
busky,0.25,14,5
caple,0.67,9,5
kikay,0.67,16,4
seils,0.67,5,4
viols,0.67,8,5
ymolt,0.25,10,5
flaws,0.25,11,5
doxie,1.5,13,5
fuzee,1.5,17,4
wisha,0.67,11,5
plack,0.25,13,5
ceros,0.67,7,5
oxeas,1.5,12,5
scams,0.25,9,4
theic,0.67,10,5
limey,0.67,10,5
taped,0.67,8,5
rafiq,0.67,17,5
seeks,0.67,9,3
teens,0.67,5,4
heids,0.67,9,5
imped,0.67,10,5
grigs,0.25,7,4
cozen,0.67,16,5
bardy,0.25,11,5
physa,0.25,13,5
funda,0.67,9,5
rasse,0.67,5,4
dadas,0.67,7,3
opsat,0.67,7,5
coved,0.67,11,5
coney,0.67,10,5
wrack,0.25,14,5
kayak,0.67,16,3
unity,0.67,8,5
ryiji,0.67,15,4
paste,0.67,7,5
crisp,0.25,9,5
abamp,0.67,11,4
gibed,0.67,9,5
cosie,1.5,7,5
kazis,0.67,18,5
dolma,0.67,8,5
shots,0.25,8,4
dowdy,0.25,13,4
sumph,0.25,12,5
terek,0.67,9,4
cyber,0.25,12,5
hooly,0.67,11,4
saned,0.67,6,5
neoza,1.5,14,5
abhor,0.67,10,5
aduki,1.5,10,5
pizes,0.67,16,5
boche,0.67,12,5
bails,0.67,7,5
model,0.67,8,5
voxes,0.67,15,5
abaft,0.67,10,4
thank,0.25,12,5
ripps,0.25,9,4
slued,0.67,6,5
pored,0.67,8,5
cromb,0.25,11,5
boors,0.67,7,4
retox,0.67,12,5
cooty,0.67,10,4
palps,0.25,9,4
nogal,0.67,6,5
womby,0.25,15,5
tuffs,0.25,11,4
swelt,0.25,8,5
keeks,0.67,13,3
sikes,0.67,9,4
kilim,0.67,11,4
noint,0.67,5,4
nasus,0.67,5,4
vexil,0.67,15,5
milpa,0.67,9,5
lapel,0.67,7,4
nifes,0.67,8,5
gnarl,0.25,6,5
knick,0.25,15,4
plaig,0.67,8,5
sanes,0.67,5,4
bolus,0.67,7,5
msasa,0.67,7,3
cakes,0.67,11,5
warks,0.25,12,5
chuck,0.25,16,4
nidus,0.67,6,5
snied,0.67,6,5
chums,0.25,12,5
kitul,0.67,9,5
fours,0.67,8,5
motey,0.67,10,5
girds,0.25,7,5
mvule,0.67,10,5
skoff,0.25,15,4
quash,0.67,17,5
effed,0.67,12,3
cushy,0.25,13,5
hexad,0.67,16,5
meres,0.67,7,4
trios,0.67,5,5
ardri,0.67,6,4
cooms,0.67,9,4
muser,0.67,7,5
copen,0.67,9,5
plonk,0.25,11,5
lingy,0.25,9,5
awato,1.5,8,4
neuks,0.67,9,5
mites,0.67,7,5
spent,0.25,7,5
cabob,0.67,11,4
niopo,1.5,7,4
ables,0.67,7,5
rotls,0.25,5,5
njirl,0.25,12,5
boyar,0.67,10,5
ikons,0.67,9,5
halos,0.67,8,5
toils,0.67,5,5
kipes,0.67,11,5
puces,0.67,9,5
thick,0.25,14,5
unhip,0.67,10,5
halma,0.67,10,4
durgy,0.25,10,5
ficos,0.67,10,5
bevel,0.67,10,4
takis,0.67,9,5
slues,0.67,5,4
teins,0.67,5,5
teiid,1.5,6,4
laide,1.5,6,5
nuder,0.67,6,5
fujis,0.67,15,5
daraf,0.67,9,4
turrs,0.25,5,4
geasa,1.5,6,4
bidri,0.67,8,4
lepta,0.67,7,5
genty,0.25,9,5
sugos,0.67,6,4
skink,0.25,13,4
crust,0.25,7,5
badly,0.25,11,5
crocs,0.25,9,4
tarty,0.25,8,4
bions,0.67,7,5
mourn,0.67,7,5
chawl,0.25,13,5
bodle,0.67,8,5
deign,0.67,7,5
pulut,0.67,7,4
braws,0.25,10,5
gabba,0.67,10,3
dreer,0.67,6,3
chord,0.25,11,5
prase,0.67,7,5
tempo,0.67,9,5
stans,0.25,5,4
goths,0.25,9,5
sidle,0.67,6,5
zoism,0.67,16,5
thrae,0.67,8,5
faded,0.67,10,4
yawps,0.25,13,5
toast,0.67,5,4
sybbe,0.25,12,4
kibbe,0.67,13,4
mocks,0.25,13,5
sorry,0.25,8,4
nrtta,0.25,5,4
larch,0.25,10,5
rarks,0.25,9,4
champ,0.25,14,5
kevil,0.67,12,5
tween,0.67,8,4
rifle,0.67,8,5
vaded,0.67,10,4
joked,0.67,17,5
hacky,0.25,17,5
minas,0.67,7,5
evets,0.67,8,4
golps,0.25,8,5
reedy,0.67,9,4
selfy,0.25,11,5
naive,1.5,8,5
flunk,0.25,12,5
spasm,0.25,9,4
brack,0.25,13,5
gulas,0.67,6,5
slaid,0.67,6,5
luffa,0.67,11,4
boson,0.67,7,4
rolag,0.67,6,5
mikes,0.67,11,5
fried,0.67,9,5
skeed,0.67,10,4
sorda,0.67,6,5
shope,0.67,10,5
evohe,1.5,11,4
mikan,0.67,11,5
cubby,0.25,14,4
euros,1.5,5,5
faute,1.5,8,5
broke,0.67,11,5
panko,0.67,11,5
baozi,1.5,16,5
felts,0.25,8,5
qilas,0.67,14,5
syrah,0.25,11,5
bolar,0.67,7,5
exalt,0.67,12,5
monks,0.25,11,5
toshy,0.25,11,5
zebec,0.67,18,4
macaw,0.67,12,4
whata,0.67,11,4
tweed,0.67,9,4
tharm,0.25,10,5
sooky,0.67,12,4
fiscs,0.25,10,4
eskar,0.67,9,5
moust,0.67,7,5
viced,0.67,11,5
piggy,0.25,12,4
troad,0.67,6,5
jazzy,0.25,33,4
lacis,0.67,7,5
gnars,0.25,6,5
tawer,0.67,8,5
choon,0.67,10,4
puton,0.67,7,5
winze,0.67,17,5
hails,0.67,8,5
wadds,0.25,10,4
delfs,0.25,9,5
mensh,0.25,10,5
zebub,0.67,18,4
goody,0.67,10,4
bahus,0.67,10,5
adlib,0.67,8,5
lurry,0.25,8,4
pibal,0.67,9,5
skelm,0.25,11,5
dript,0.25,8,5
peres,0.67,7,4
fillo,0.67,8,4
spide,0.67,8,5
arena,1.5,5,4
papal,0.67,9,3
yoofs,0.67,11,4
ouphe,1.5,10,5
crowd,0.25,11,5
ochry,0.25,13,5
pokes,0.67,11,5
confs,0.25,10,5
poset,0.67,7,5
adios,1.5,6,5
gists,0.25,6,4
rawin,0.67,8,5
stank,0.25,9,5
thebe,0.67,10,4
media,1.5,8,5
bhats,0.25,10,5
peise,1.5,7,4
decor,0.67,8,5
stopt,0.25,7,4
koppa,0.67,13,4
glogg,0.25,8,3
zakat,0.67,18,4
egret,0.67,6,4
amine,1.5,7,5
speel,0.67,7,4
oaken,1.5,9,5
noove,1.5,8,4
yukky,0.25,19,3
fecht,0.25,13,5
nyala,0.67,8,4
otter,0.67,5,4
axion,1.5,12,5
hends,0.25,9,5
waldo,0.67,9,5
zinco,0.67,16,5
elder,0.67,6,4
gaffs,0.25,12,4
paean,1.5,7,4
skats,0.25,9,4
denar,0.67,6,5
intel,0.67,5,5
enrol,0.67,5,5
gator,0.67,6,5
capon,0.67,9,5
folds,0.25,9,5
blest,0.25,7,5
panna,0.67,7,3
yojan,0.67,15,5
neigh,0.67,9,5
culty,0.25,10,5
zatis,0.67,14,5
xolos,0.67,12,4
gazon,0.67,15,5
lifts,0.25,8,5
jirds,0.25,13,5
shtar,0.25,8,5
aggag,0.67,8,2
talma,0.67,7,4
khats,0.25,12,5
fumes,0.67,10,5
poohy,0.67,13,4
kulas,0.67,9,5
dungs,0.25,7,5
weete,1.5,8,3
speos,0.67,7,4
dodgy,0.25,11,4
koura,1.5,9,5
meffs,0.25,13,4
noyes,0.67,8,5
sysop,0.25,10,4
jatos,0.67,12,5
bandh,0.25,11,5
dewed,0.67,10,3
beany,0.67,10,5
jalop,0.67,14,5
flews,0.25,11,5
antes,0.67,5,5
pesto,0.67,7,5
boyla,0.67,10,5
later,0.67,5,5
niche,0.67,10,5
mesia,1.5,7,5
vakil,0.67,12,5
aflaj,0.67,15,4
elogy,0.67,9,5
wreck,0.25,14,5
moria,1.5,7,5
chava,0.67,13,4
sleep,0.67,7,4
kites,0.67,9,5
nanty,0.25,8,4
temps,0.25,9,5
mutas,0.67,7,5
brigs,0.25,8,5
flock,0.25,14,5
femmy,0.25,15,4
poufy,0.67,13,5
arets,0.67,5,5
armil,0.67,7,5
bayle,0.67,10,5
forel,0.67,8,5
fleet,0.67,8,4
kelts,0.25,9,5
poach,0.67,12,5
forum,0.67,10,5
sughs,0.25,9,4
phial,0.67,10,5
makar,0.67,11,4
dural,0.67,6,5
sumps,0.25,9,4
slews,0.25,8,4
munis,0.67,7,5
wazir,0.67,17,5
gowks,0.25,13,5
sable,0.67,7,5
coral,0.67,7,5
joyed,0.67,16,5
balun,0.67,7,5
jammy,0.25,19,4
shuns,0.25,8,4
argle,0.67,6,5
lochs,0.25,10,5
herse,0.67,8,4
dwile,0.67,9,5
ixora,1.5,12,5
meins,0.67,7,5
puzel,0.67,16,5
gammy,0.25,13,4
allus,0.67,5,4
mauri,1.5,7,5
feist,0.67,8,5
unred,0.67,6,5
hubby,0.25,15,4
pinks,0.25,11,5
fubby,0.25,15,4
ergot,0.67,6,5
scatt,0.25,7,4
resam,0.67,7,5
doorn,0.67,6,4
torii,1.5,5,4
plues,0.67,7,5
novum,0.67,10,5
pinny,0.25,10,4
verse,0.67,8,4
zonks,0.25,18,5
etics,0.67,7,5
orfes,0.67,8,5
excel,0.67,14,4
trona,0.67,5,5
bland,0.25,8,5
frust,0.25,8,5
anole,1.5,5,5
ennog,0.67,6,4
foins,0.67,8,5
praty,0.25,10,5
splog,0.25,8,5
toddy,0.25,10,4
hymns,0.0,13,5
sowps,0.25,10,4
balus,0.67,7,5
lucky,0.25,14,5
spilt,0.25,7,5
tacts,0.25,7,4
comic,0.67,11,4
caese,1.5,7,4
unbag,0.67,8,5
lauds,0.67,6,5
gashy,0.25,12,5
vibey,0.67,13,5
laers,0.67,5,5
gnawn,0.25,9,4
pinta,0.67,7,5
mokus,0.67,11,5
opihi,1.5,10,4
rewin,0.67,8,5
melik,0.67,11,5
mokey,0.67,14,5
galia,1.5,6,4
bykes,0.25,14,5
oakum,1.5,11,5
arose,1.5,5,5
meted,0.67,8,4
skill,0.25,9,4
throe,0.67,8,5
baals,0.67,7,4
parts,0.25,7,5
biach,0.67,12,5
bouse,1.5,7,5
jings,0.25,13,5
jatha,0.67,15,4
myall,0.25,10,4
coupe,1.5,9,5
adead,1.5,7,3
paris,0.67,7,5
guess,0.67,6,4
alien,1.5,5,5
clean,0.67,7,5
klieg,0.67,10,5
poppy,0.25,14,3
praps,0.25,9,4
skelf,0.25,12,5
helms,0.25,10,5
ikats,0.67,9,5
minge,0.67,8,5
tenon,0.67,5,4
speir,0.67,7,5
biped,0.67,10,5
dorad,0.67,7,4
skews,0.25,12,4
atoke,1.5,9,5
migod,0.67,9,5
asper,0.67,7,5
taste,0.67,5,4
curch,0.25,12,4
jumar,0.67,14,5
riche,0.67,10,5
asked,0.67,10,5
xysti,0.25,15,5
tante,0.67,5,4
epics,0.67,9,5
caret,0.67,7,5
momma,0.67,11,3
letch,0.25,10,5
meous,1.5,7,5
scarf,0.25,10,5
enema,1.5,7,4
silos,0.67,5,4
spect,0.25,9,5
rhine,0.67,8,5
hotis,0.67,8,5
paysd,0.25,11,5
cesse,0.67,7,3
tangi,0.67,6,5
thale,0.67,8,5
crowl,0.25,10,5
doner,0.67,6,5
tegua,1.5,6,5
punky,0.25,14,5
derpy,0.25,11,5
kwirl,0.25,12,5
pugil,0.67,8,5
zoomy,0.67,19,4
ommin,0.67,9,4
feuar,1.5,8,5
jemmy,0.25,19,4
bough,0.67,11,5
ronte,0.67,5,5
braxy,0.25,17,5
gopak,0.67,12,5
bungs,0.25,8,5
alure,1.5,5,5
teddy,0.25,10,4
orant,0.67,5,5
denis,0.67,6,5
djins,0.25,13,5
nimby,0.25,12,5
chiks,0.25,14,5
taira,1.5,5,4
moyas,0.67,10,5
quayd,0.67,18,5
opery,0.67,10,5
width,0.25,12,5
vinic,0.67,10,4
loath,0.67,8,5
rased,0.67,6,5
ejido,1.5,13,5
loopy,0.67,10,4
crith,0.25,10,5
boggy,0.25,12,4
sizer,0.67,14,5
polis,0.67,7,5
dosas,0.67,6,4
codes,0.67,8,5
yonny,0.25,11,3
phage,0.67,11,5
depth,0.25,11,5
hijra,0.67,15,5
hazle,0.67,17,5
furry,0.25,11,4
spray,0.25,10,5
ingot,0.67,6,5
pyoid,0.67,11,5
umras,0.67,7,5
bobas,0.67,9,4
diene,1.5,6,4
koras,0.67,9,5
poena,1.5,7,5
munia,1.5,7,5
natto,0.67,5,4
lorel,0.67,5,4
sleet,0.67,5,4
janns,0.25,12,4
sowce,0.67,10,5
dormy,0.25,11,5
avian,1.5,8,4
hyrax,0.25,18,5
mails,0.67,7,5
beige,1.5,8,4
aiyee,4.0,8,4
milch,0.25,12,5
ramet,0.67,7,5
ammos,0.67,9,4
eloin,1.5,5,5
piing,0.67,8,4
sweer,0.67,8,4
apery,0.67,10,5
poete,1.5,7,4
putti,0.67,7,4
ennui,1.5,5,4
wifts,0.25,11,5
rills,0.25,5,4
sprag,0.25,8,5
raggy,0.25,10,4
clips,0.25,9,5
smize,0.67,16,5
roset,0.67,5,5
artal,0.67,5,4
sager,0.67,6,5
boles,0.67,7,5
knoll,0.25,9,4
plies,0.67,7,5
breme,0.67,9,4
lyted,0.25,9,5
oucht,0.67,10,5
awned,0.67,9,5
burks,0.25,11,5
repun,0.67,7,5
reata,1.5,5,4
palsa,0.67,7,4
momie,1.5,9,4
odals,0.67,6,5
cages,0.67,8,5
adunc,0.67,8,5
logia,1.5,6,5
sture,0.67,5,5
shall,0.25,8,4
picon,0.67,9,5
pouke,1.5,11,5
crash,0.25,10,5
shiur,0.67,8,5
barbe,0.67,9,4
blins,0.25,7,5
garis,0.67,6,5
udyog,0.67,10,5
houfs,0.67,11,5
ogres,0.67,6,5
gunny,0.25,9,4
adzes,0.67,15,5
burfi,0.67,10,5
thegn,0.25,9,5
nacre,0.67,7,5
sengi,0.67,6,5
posey,0.67,10,5
dingo,0.67,7,5
miaow,1.5,10,5
shtup,0.25,10,5
baggy,0.25,12,4
drice,0.67,8,5
deeds,0.67,7,3
heads,0.67,9,5
roosa,1.5,5,4
acock,0.67,13,4
brass,0.25,7,4
zeera,1.5,14,4
kants,0.25,9,5
zinos,0.67,14,5
sabir,0.67,7,5
dizzy,0.25,27,4
quean,1.5,14,5
atimy,0.67,10,5
loved,0.67,9,5
altho,0.67,8,5
roany,0.67,8,5
amigo,1.5,8,5
snies,0.67,5,4
atony,0.67,8,5
aloud,1.5,6,5
kogal,0.67,10,5
daces,0.67,8,5
scorp,0.25,9,5
korus,0.67,9,5
reman,0.67,7,5
spivs,0.25,10,4
muter,0.67,7,5
feely,0.67,11,4
trant,0.25,5,4
quoad,1.5,15,5
maggs,0.25,9,4
zingy,0.25,18,5
spets,0.25,7,4
covin,0.67,10,5
arias,1.5,5,4
cloth,0.25,10,5
gowan,0.67,9,5
gypos,0.25,11,5
urite,1.5,5,5
cutch,0.25,12,4
ergon,0.67,6,5
stour,0.67,5,5
orlon,0.67,5,4
steil,0.67,5,5
wacky,0.25,17,5
dowry,0.25,12,5
metre,0.67,7,4
typic,0.25,12,5
slung,0.25,6,5
omuls,0.67,7,5
ojime,1.5,14,5
calls,0.25,7,4
impel,0.67,9,5
trams,0.25,7,5
vulgo,0.67,9,5
shout,0.67,8,5
icing,0.67,8,4
whorl,0.25,11,5
pekid,0.67,12,5
sprat,0.25,7,5
cubit,0.67,9,5
claes,0.67,7,5
scull,0.25,7,4
sorer,0.67,5,4
paise,1.5,7,5
suent,0.67,5,5
garbo,0.67,8,5
molds,0.25,8,5
arbas,0.67,7,4
skeds,0.25,10,4
litem,0.67,7,5
sepal,0.67,7,5
voema,1.5,10,5
vells,0.25,8,4
sweep,0.67,10,4
cuish,0.67,10,5
sieth,0.67,8,5
baton,0.67,7,5
varna,0.67,8,4
etage,1.5,6,4
ither,0.67,8,5
vuggs,0.25,10,4
jodel,0.67,13,5
hoved,0.67,12,5
belah,0.67,10,5
bodes,0.67,8,5
gaunt,0.67,6,5
caird,0.67,8,5
yobby,0.25,15,3
hawms,0.25,13,5
kapow,0.67,14,5
stept,0.25,7,4
jinns,0.25,12,4
aunty,0.67,8,5
pudge,0.67,9,5
scape,0.67,9,5
alibi,1.5,7,4
butch,0.25,12,5
meals,0.67,7,5
pepon,0.67,9,4
palmy,0.25,12,5
lawsy,0.25,11,5
fabby,0.25,15,4
amole,1.5,7,5
forme,0.67,10,5
repps,0.25,9,4
arish,0.67,8,5
brake,0.67,11,5
glaik,0.67,10,5
flane,0.67,8,5
wifey,0.67,14,5
hypes,0.25,13,5
